ts,context,dep_replicas,dep_ready,hpa_current,hpa_desired,cpu_cur_util,cpu_target_util,pods_cpu_m_sum,pods_cpu_m_list,pods_mem_mi_sum,pods_mem_mi_list,lastScaleTime
2026-02-06T00:25:43-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,23.000,cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:22:37Z
2026-02-06T00:25:44-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,23.000,cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:22:37Z
2026-02-06T00:25:45-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,23.000,cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:22:37Z
2026-02-06T00:25:46-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,23.000,cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:22:37Z
2026-02-06T00:25:47-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,23.000,cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:22:37Z
2026-02-06T00:25:48-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,23.000,cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:22:37Z
2026-02-06T00:25:50-06:00,kind-cluster,1,1,1,1,1,50,3,cpu-nginx-74476f8d7f-zr58z=3m,24.000,cpu-nginx-74476f8d7f-zr58z=24.000Mi,2026-02-06T06:22:37Z
2026-02-06T00:25:51-06:00,kind-cluster,1,1,1,1,1,50,3,cpu-nginx-74476f8d7f-zr58z=3m,24.000,cpu-nginx-74476f8d7f-zr58z=24.000Mi,2026-02-06T06:22:37Z
2026-02-06T00:25:52-06:00,kind-cluster,1,1,1,1,1,50,3,cpu-nginx-74476f8d7f-zr58z=3m,24.000,cpu-nginx-74476f8d7f-zr58z=24.000Mi,2026-02-06T06:22:37Z
2026-02-06T00:25:53-06:00,kind-cluster,1,1,1,1,3,50,3,cpu-nginx-74476f8d7f-zr58z=3m,24.000,cpu-nginx-74476f8d7f-zr58z=24.000Mi,2026-02-06T06:22:37Z
2026-02-06T00:25:54-06:00,kind-cluster,1,1,1,1,3,50,3,cpu-nginx-74476f8d7f-zr58z=3m,24.000,cpu-nginx-74476f8d7f-zr58z=24.000Mi,2026-02-06T06:22:37Z
2026-02-06T00:25:56-06:00,kind-cluster,1,1,1,1,3,50,3,cpu-nginx-74476f8d7f-zr58z=3m,24.000,cpu-nginx-74476f8d7f-zr58z=24.000Mi,2026-02-06T06:22:37Z
2026-02-06T00:25:57-06:00,kind-cluster,1,1,1,1,3,50,3,cpu-nginx-74476f8d7f-zr58z=3m,24.000,cpu-nginx-74476f8d7f-zr58z=24.000Mi,2026-02-06T06:22:37Z
2026-02-06T00:25:58-06:00,kind-cluster,1,1,1,1,3,50,3,cpu-nginx-74476f8d7f-zr58z=3m,24.000,cpu-nginx-74476f8d7f-zr58z=24.000Mi,2026-02-06T06:22:37Z
