ts,context,dep_replicas,dep_ready,hpa_current,hpa_desired,cpu_cur_util,cpu_target_util,pods_cpu_m_sum,pods_cpu_m_list,pods_mem_mi_sum,pods_mem_mi_list,lastScaleTime
2026-02-06T00:19:34-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:19:35-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:19:36-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:19:37-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:19:38-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:19:39-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:19:41-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:19:42-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:19:43-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:19:44-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:19:45-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:19:47-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:19:48-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:19:49-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:19:50-06:00,kind-cluster,1,1,1,1,1,50,0,cpu-nginx-74476f8d7f-zr58z=0m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:19:51-06:00,kind-cluster,1,1,1,1,1,50,0,cpu-nginx-74476f8d7f-zr58z=0m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:19:52-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:19:54-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:19:55-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:19:56-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:19:57-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:19:58-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:20:00-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:20:01-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:20:02-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:20:03-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:20:04-06:00,kind-cluster,1,1,1,1,0,50,1,cpu-nginx-74476f8d7f-zr58z=1m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:20:05-06:00,kind-cluster,1,1,1,1,0,50,1,cpu-nginx-74476f8d7f-zr58z=1m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:20:07-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:20:08-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:20:09-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:20:10-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:20:11-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:20:13-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:20:14-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:20:15-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:20:16-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:20:17-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:20:18-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,21.000,cpu-nginx-74476f8d7f-zr58z=21.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:20:20-06:00,kind-cluster,1,1,1,1,1,50,208,cpu-nginx-74476f8d7f-zr58z=208m,23.000,cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:20:21-06:00,kind-cluster,1,1,1,1,1,50,208,cpu-nginx-74476f8d7f-zr58z=208m,23.000,cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:18:21Z
2026-02-06T00:20:22-06:00,kind-cluster,5,1,1,5,208,50,208,cpu-nginx-74476f8d7f-zr58z=208m,23.000,cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:20:22Z
2026-02-06T00:20:23-06:00,kind-cluster,5,5,1,5,208,50,208,cpu-nginx-74476f8d7f-zr58z=208m,23.000,cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:20:22Z
2026-02-06T00:20:24-06:00,kind-cluster,5,5,1,5,208,50,208,cpu-nginx-74476f8d7f-zr58z=208m,23.000,cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:20:22Z
