ts,context,dep_replicas,dep_ready,hpa_current,hpa_desired,cpu_cur_util,cpu_target_util,pods_cpu_m_sum,pods_cpu_m_list,pods_mem_mi_sum,pods_mem_mi_list,lastScaleTime
2026-02-06T01:18:19-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,26.000,cpu-nginx-74476f8d7f-zr58z=26.000Mi,2026-02-06T07:15:49Z
2026-02-06T01:18:21-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,26.000,cpu-nginx-74476f8d7f-zr58z=26.000Mi,2026-02-06T07:15:49Z
2026-02-06T01:18:22-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,26.000,cpu-nginx-74476f8d7f-zr58z=26.000Mi,2026-02-06T07:15:49Z
2026-02-06T01:18:23-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,26.000,cpu-nginx-74476f8d7f-zr58z=26.000Mi,2026-02-06T07:15:49Z
2026-02-06T01:18:24-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,26.000,cpu-nginx-74476f8d7f-zr58z=26.000Mi,2026-02-06T07:15:49Z
2026-02-06T01:18:25-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,26.000,cpu-nginx-74476f8d7f-zr58z=26.000Mi,2026-02-06T07:15:49Z
2026-02-06T01:18:26-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,26.000,cpu-nginx-74476f8d7f-zr58z=26.000Mi,2026-02-06T07:15:49Z
2026-02-06T01:18:28-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,26.000,cpu-nginx-74476f8d7f-zr58z=26.000Mi,2026-02-06T07:15:49Z
2026-02-06T01:18:29-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,26.000,cpu-nginx-74476f8d7f-zr58z=26.000Mi,2026-02-06T07:15:49Z
2026-02-06T01:18:30-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,26.000,cpu-nginx-74476f8d7f-zr58z=26.000Mi,2026-02-06T07:15:49Z
2026-02-06T01:18:31-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,26.000,cpu-nginx-74476f8d7f-zr58z=26.000Mi,2026-02-06T07:15:49Z
2026-02-06T01:18:32-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,26.000,cpu-nginx-74476f8d7f-zr58z=26.000Mi,2026-02-06T07:15:49Z
2026-02-06T01:18:33-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,26.000,cpu-nginx-74476f8d7f-zr58z=26.000Mi,2026-02-06T07:15:49Z
2026-02-06T01:18:35-06:00,kind-cluster,1,1,1,1,0,50,129,cpu-nginx-74476f8d7f-zr58z=129m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T07:15:49Z
2026-02-06T01:18:36-06:00,kind-cluster,3,3,1,3,129,50,129,cpu-nginx-74476f8d7f-zr58z=129m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T07:18:35Z
2026-02-06T01:18:37-06:00,kind-cluster,3,3,1,3,129,50,129,cpu-nginx-74476f8d7f-zr58z=129m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T07:18:35Z
2026-02-06T01:18:38-06:00,kind-cluster,3,3,1,3,129,50,129,cpu-nginx-74476f8d7f-zr58z=129m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T07:18:35Z
2026-02-06T01:18:39-06:00,kind-cluster,3,3,1,3,129,50,129,cpu-nginx-74476f8d7f-zr58z=129m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T07:18:35Z
2026-02-06T01:18:40-06:00,kind-cluster,3,3,3,3,129,50,129,cpu-nginx-74476f8d7f-zr58z=129m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T07:18:35Z
2026-02-06T01:18:42-06:00,kind-cluster,3,3,3,3,129,50,129,cpu-nginx-74476f8d7f-zr58z=129m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T07:18:35Z
2026-02-06T01:18:43-06:00,kind-cluster,3,3,3,3,129,50,129,cpu-nginx-74476f8d7f-zr58z=129m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T07:18:35Z
2026-02-06T01:18:44-06:00,kind-cluster,3,3,3,3,129,50,129,cpu-nginx-74476f8d7f-zr58z=129m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T07:18:35Z
2026-02-06T01:18:45-06:00,kind-cluster,3,3,3,3,129,50,129,cpu-nginx-74476f8d7f-zr58z=129m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T07:18:35Z
2026-02-06T01:18:46-06:00,kind-cluster,3,3,3,3,129,50,129,cpu-nginx-74476f8d7f-zr58z=129m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T07:18:35Z
2026-02-06T01:18:47-06:00,kind-cluster,3,3,3,3,129,50,129,cpu-nginx-74476f8d7f-zr58z=129m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T07:18:35Z
2026-02-06T01:18:49-06:00,kind-cluster,3,3,3,3,129,50,129,cpu-nginx-74476f8d7f-zr58z=129m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T07:18:35Z
2026-02-06T01:18:50-06:00,kind-cluster,3,3,3,3,129,50,424,cpu-nginx-74476f8d7f-k6fsq=101m; cpu-nginx-74476f8d7f-lp29m=108m; cpu-nginx-74476f8d7f-zr58z=215m,56.000,cpu-nginx-74476f8d7f-k6fsq=15.000Mi; cpu-nginx-74476f8d7f-lp29m=15.000Mi; cpu-nginx-74476f8d7f-zr58z=26.000Mi,2026-02-06T07:18:35Z
