ts,context,dep_replicas,dep_ready,hpa_current,hpa_desired,cpu_cur_util,cpu_target_util,pods_cpu_m_sum,pods_cpu_m_list,pods_mem_mi_sum,pods_mem_mi_list,lastScaleTime
2026-02-06T00:50:22-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,22.000,cpu-nginx-74476f8d7f-zr58z=22.000Mi,2026-02-06T06:48:36Z
2026-02-06T00:50:23-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,22.000,cpu-nginx-74476f8d7f-zr58z=22.000Mi,2026-02-06T06:48:36Z
2026-02-06T00:50:25-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,22.000,cpu-nginx-74476f8d7f-zr58z=22.000Mi,2026-02-06T06:48:36Z
2026-02-06T00:50:26-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,22.000,cpu-nginx-74476f8d7f-zr58z=22.000Mi,2026-02-06T06:48:36Z
2026-02-06T00:50:27-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,22.000,cpu-nginx-74476f8d7f-zr58z=22.000Mi,2026-02-06T06:48:36Z
2026-02-06T00:50:28-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,22.000,cpu-nginx-74476f8d7f-zr58z=22.000Mi,2026-02-06T06:48:36Z
2026-02-06T00:50:29-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,22.000,cpu-nginx-74476f8d7f-zr58z=22.000Mi,2026-02-06T06:48:36Z
2026-02-06T00:50:31-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,22.000,cpu-nginx-74476f8d7f-zr58z=22.000Mi,2026-02-06T06:48:36Z
2026-02-06T00:50:32-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,22.000,cpu-nginx-74476f8d7f-zr58z=22.000Mi,2026-02-06T06:48:36Z
2026-02-06T00:50:33-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,22.000,cpu-nginx-74476f8d7f-zr58z=22.000Mi,2026-02-06T06:48:36Z
2026-02-06T00:50:34-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,22.000,cpu-nginx-74476f8d7f-zr58z=22.000Mi,2026-02-06T06:48:36Z
2026-02-06T00:50:35-06:00,kind-cluster,1,1,1,1,1,50,210,cpu-nginx-74476f8d7f-zr58z=210m,23.000,cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:48:36Z
2026-02-06T00:50:36-06:00,kind-cluster,5,1,1,5,210,50,210,cpu-nginx-74476f8d7f-zr58z=210m,23.000,cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:50:36Z
2026-02-06T00:50:38-06:00,kind-cluster,5,5,1,5,210,50,210,cpu-nginx-74476f8d7f-zr58z=210m,23.000,cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:50:36Z
2026-02-06T00:50:39-06:00,kind-cluster,5,5,1,5,210,50,210,cpu-nginx-74476f8d7f-zr58z=210m,23.000,cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:50:36Z
2026-02-06T00:50:40-06:00,kind-cluster,5,5,1,5,210,50,210,cpu-nginx-74476f8d7f-zr58z=210m,23.000,cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:50:36Z
2026-02-06T00:50:41-06:00,kind-cluster,5,5,5,5,210,50,210,cpu-nginx-74476f8d7f-zr58z=210m,23.000,cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:50:36Z
2026-02-06T00:50:42-06:00,kind-cluster,5,5,5,5,210,50,210,cpu-nginx-74476f8d7f-zr58z=210m,23.000,cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:50:36Z
2026-02-06T00:50:43-06:00,kind-cluster,5,5,5,5,210,50,210,cpu-nginx-74476f8d7f-zr58z=210m,23.000,cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:50:36Z
2026-02-06T00:50:45-06:00,kind-cluster,5,5,5,5,210,50,210,cpu-nginx-74476f8d7f-zr58z=210m,23.000,cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:50:36Z
2026-02-06T00:50:46-06:00,kind-cluster,5,5,5,5,210,50,210,cpu-nginx-74476f8d7f-zr58z=210m,23.000,cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:50:36Z
2026-02-06T00:50:47-06:00,kind-cluster,5,5,5,5,210,50,210,cpu-nginx-74476f8d7f-zr58z=210m,23.000,cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:50:36Z
2026-02-06T00:50:48-06:00,kind-cluster,5,5,5,5,210,50,210,cpu-nginx-74476f8d7f-zr58z=210m,23.000,cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:50:36Z
2026-02-06T00:50:49-06:00,kind-cluster,5,5,5,5,210,50,511,cpu-nginx-74476f8d7f-lb89p=3m; cpu-nginx-74476f8d7f-m5qcp=3m; cpu-nginx-74476f8d7f-wfkzn=3m; cpu-nginx-74476f8d7f-wjvj5=3m; cpu-nginx-74476f8d7f-zr58z=499m,75.000,cpu-nginx-74476f8d7f-lb89p=13.000Mi; cpu-nginx-74476f8d7f-m5qcp=13.000Mi; cpu-nginx-74476f8d7f-wfkzn=13.000Mi; cpu-nginx-74476f8d7f-wjvj5=13.000Mi; cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:50:36Z
2026-02-06T00:50:51-06:00,kind-cluster,5,5,5,5,210,50,511,cpu-nginx-74476f8d7f-lb89p=3m; cpu-nginx-74476f8d7f-m5qcp=3m; cpu-nginx-74476f8d7f-wfkzn=3m; cpu-nginx-74476f8d7f-wjvj5=3m; cpu-nginx-74476f8d7f-zr58z=499m,75.000,cpu-nginx-74476f8d7f-lb89p=13.000Mi; cpu-nginx-74476f8d7f-m5qcp=13.000Mi; cpu-nginx-74476f8d7f-wfkzn=13.000Mi; cpu-nginx-74476f8d7f-wjvj5=13.000Mi; cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:50:36Z
2026-02-06T00:50:52-06:00,kind-cluster,10,5,5,10,251,50,511,cpu-nginx-74476f8d7f-lb89p=3m; cpu-nginx-74476f8d7f-m5qcp=3m; cpu-nginx-74476f8d7f-wfkzn=3m; cpu-nginx-74476f8d7f-wjvj5=3m; cpu-nginx-74476f8d7f-zr58z=499m,75.000,cpu-nginx-74476f8d7f-lb89p=13.000Mi; cpu-nginx-74476f8d7f-m5qcp=13.000Mi; cpu-nginx-74476f8d7f-wfkzn=13.000Mi; cpu-nginx-74476f8d7f-wjvj5=13.000Mi; cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:50:51Z
2026-02-06T00:50:53-06:00,kind-cluster,10,10,5,10,251,50,511,cpu-nginx-74476f8d7f-lb89p=3m; cpu-nginx-74476f8d7f-m5qcp=3m; cpu-nginx-74476f8d7f-wfkzn=3m; cpu-nginx-74476f8d7f-wjvj5=3m; cpu-nginx-74476f8d7f-zr58z=499m,75.000,cpu-nginx-74476f8d7f-lb89p=13.000Mi; cpu-nginx-74476f8d7f-m5qcp=13.000Mi; cpu-nginx-74476f8d7f-wfkzn=13.000Mi; cpu-nginx-74476f8d7f-wjvj5=13.000Mi; cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:50:51Z
2026-02-06T00:50:54-06:00,kind-cluster,10,10,5,10,251,50,511,cpu-nginx-74476f8d7f-lb89p=3m; cpu-nginx-74476f8d7f-m5qcp=3m; cpu-nginx-74476f8d7f-wfkzn=3m; cpu-nginx-74476f8d7f-wjvj5=3m; cpu-nginx-74476f8d7f-zr58z=499m,75.000,cpu-nginx-74476f8d7f-lb89p=13.000Mi; cpu-nginx-74476f8d7f-m5qcp=13.000Mi; cpu-nginx-74476f8d7f-wfkzn=13.000Mi; cpu-nginx-74476f8d7f-wjvj5=13.000Mi; cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:50:51Z
2026-02-06T00:50:55-06:00,kind-cluster,10,10,5,10,251,50,511,cpu-nginx-74476f8d7f-lb89p=3m; cpu-nginx-74476f8d7f-m5qcp=3m; cpu-nginx-74476f8d7f-wfkzn=3m; cpu-nginx-74476f8d7f-wjvj5=3m; cpu-nginx-74476f8d7f-zr58z=499m,75.000,cpu-nginx-74476f8d7f-lb89p=13.000Mi; cpu-nginx-74476f8d7f-m5qcp=13.000Mi; cpu-nginx-74476f8d7f-wfkzn=13.000Mi; cpu-nginx-74476f8d7f-wjvj5=13.000Mi; cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:50:51Z
2026-02-06T00:50:56-06:00,kind-cluster,10,10,10,10,251,50,511,cpu-nginx-74476f8d7f-lb89p=3m; cpu-nginx-74476f8d7f-m5qcp=3m; cpu-nginx-74476f8d7f-wfkzn=3m; cpu-nginx-74476f8d7f-wjvj5=3m; cpu-nginx-74476f8d7f-zr58z=499m,75.000,cpu-nginx-74476f8d7f-lb89p=13.000Mi; cpu-nginx-74476f8d7f-m5qcp=13.000Mi; cpu-nginx-74476f8d7f-wfkzn=13.000Mi; cpu-nginx-74476f8d7f-wjvj5=13.000Mi; cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:50:51Z
2026-02-06T00:50:58-06:00,kind-cluster,10,10,10,10,251,50,511,cpu-nginx-74476f8d7f-lb89p=3m; cpu-nginx-74476f8d7f-m5qcp=3m; cpu-nginx-74476f8d7f-wfkzn=3m; cpu-nginx-74476f8d7f-wjvj5=3m; cpu-nginx-74476f8d7f-zr58z=499m,75.000,cpu-nginx-74476f8d7f-lb89p=13.000Mi; cpu-nginx-74476f8d7f-m5qcp=13.000Mi; cpu-nginx-74476f8d7f-wfkzn=13.000Mi; cpu-nginx-74476f8d7f-wjvj5=13.000Mi; cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:50:51Z
2026-02-06T00:50:59-06:00,kind-cluster,10,10,10,10,251,50,511,cpu-nginx-74476f8d7f-lb89p=3m; cpu-nginx-74476f8d7f-m5qcp=3m; cpu-nginx-74476f8d7f-wfkzn=3m; cpu-nginx-74476f8d7f-wjvj5=3m; cpu-nginx-74476f8d7f-zr58z=499m,75.000,cpu-nginx-74476f8d7f-lb89p=13.000Mi; cpu-nginx-74476f8d7f-m5qcp=13.000Mi; cpu-nginx-74476f8d7f-wfkzn=13.000Mi; cpu-nginx-74476f8d7f-wjvj5=13.000Mi; cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:50:51Z
2026-02-06T00:51:00-06:00,kind-cluster,10,10,10,10,251,50,511,cpu-nginx-74476f8d7f-lb89p=3m; cpu-nginx-74476f8d7f-m5qcp=3m; cpu-nginx-74476f8d7f-wfkzn=3m; cpu-nginx-74476f8d7f-wjvj5=3m; cpu-nginx-74476f8d7f-zr58z=499m,75.000,cpu-nginx-74476f8d7f-lb89p=13.000Mi; cpu-nginx-74476f8d7f-m5qcp=13.000Mi; cpu-nginx-74476f8d7f-wfkzn=13.000Mi; cpu-nginx-74476f8d7f-wjvj5=13.000Mi; cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:50:51Z
2026-02-06T00:51:01-06:00,kind-cluster,10,10,10,10,251,50,511,cpu-nginx-74476f8d7f-lb89p=3m; cpu-nginx-74476f8d7f-m5qcp=3m; cpu-nginx-74476f8d7f-wfkzn=3m; cpu-nginx-74476f8d7f-wjvj5=3m; cpu-nginx-74476f8d7f-zr58z=499m,75.000,cpu-nginx-74476f8d7f-lb89p=13.000Mi; cpu-nginx-74476f8d7f-m5qcp=13.000Mi; cpu-nginx-74476f8d7f-wfkzn=13.000Mi; cpu-nginx-74476f8d7f-wjvj5=13.000Mi; cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:50:51Z
2026-02-06T00:51:02-06:00,kind-cluster,10,10,10,10,251,50,511,cpu-nginx-74476f8d7f-lb89p=3m; cpu-nginx-74476f8d7f-m5qcp=3m; cpu-nginx-74476f8d7f-wfkzn=3m; cpu-nginx-74476f8d7f-wjvj5=3m; cpu-nginx-74476f8d7f-zr58z=499m,75.000,cpu-nginx-74476f8d7f-lb89p=13.000Mi; cpu-nginx-74476f8d7f-m5qcp=13.000Mi; cpu-nginx-74476f8d7f-wfkzn=13.000Mi; cpu-nginx-74476f8d7f-wjvj5=13.000Mi; cpu-nginx-74476f8d7f-zr58z=23.000Mi,2026-02-06T06:50:51Z
