ts,context,dep_replicas,dep_ready,hpa_current,hpa_desired,cpu_cur_util,cpu_target_util,pods_cpu_m_sum,pods_cpu_m_list,pods_mem_mi_sum,pods_mem_mi_list,lastScaleTime
2026-02-06T00:56:37-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T06:54:37Z
2026-02-06T00:56:38-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T06:54:37Z
2026-02-06T00:56:39-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T06:54:37Z
2026-02-06T00:56:40-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T06:54:37Z
2026-02-06T00:56:42-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T06:54:37Z
2026-02-06T00:56:43-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T06:54:37Z
2026-02-06T00:56:44-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T06:54:37Z
2026-02-06T00:56:45-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T06:54:37Z
2026-02-06T00:56:46-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T06:54:37Z
2026-02-06T00:56:47-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T06:54:37Z
2026-02-06T00:56:49-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T06:54:37Z
2026-02-06T00:56:50-06:00,kind-cluster,1,1,1,1,1,50,0,cpu-nginx-74476f8d7f-zr58z=0m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T06:54:37Z
2026-02-06T00:56:51-06:00,kind-cluster,1,1,1,1,1,50,0,cpu-nginx-74476f8d7f-zr58z=0m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T06:54:37Z
2026-02-06T00:56:52-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T06:54:37Z
2026-02-06T00:56:53-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T06:54:37Z
2026-02-06T00:56:55-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T06:54:37Z
2026-02-06T00:56:56-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T06:54:37Z
2026-02-06T00:56:57-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T06:54:37Z
2026-02-06T00:56:58-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T06:54:37Z
2026-02-06T00:56:59-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T06:54:37Z
2026-02-06T00:57:00-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T06:54:37Z
2026-02-06T00:57:02-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T06:54:37Z
2026-02-06T00:57:03-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T06:54:37Z
2026-02-06T00:57:04-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T06:54:37Z
2026-02-06T00:57:05-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T06:54:37Z
2026-02-06T00:57:06-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T06:54:37Z
2026-02-06T00:57:07-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T06:54:37Z
2026-02-06T00:57:09-06:00,kind-cluster,1,1,1,1,0,50,0,cpu-nginx-74476f8d7f-zr58z=0m,25.000,cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T06:54:37Z
